Ativos
"""HOME34"","
"""HOME34F "","
"""HONB34"","
"""HONB34F"","
"""HOOT4"","
"""HPQB34"","
"""HPQB34F "","
"""HYPE3"","
"""IBMB34"","
"""IBMB34F "","
"""IGBR3"","
"""IGBR3F"","
"""IGTA3"","
"""INEP3"","
"""INEP3F"","
"""INEP4"","
"""INEP4F"","
"""IRBR3"","
"""ITLC34"","
"""ITLC34F "","
"""ITSA3F"","
"""ITSA4"","
"""ITSA4F"","
"""ITUB3"","
"""ITUB3F"","
"""ITUB4"","
"""ITUB4F"","
"""IVPR3B"","
"""IVPR4B"","
"""JBSS3"","
"""JBSS3F"","
"""JHSF3"","
"""JHSF3F"","
"""JNJB34"","
"""JNJB34F"","
"""JPMC34"","
"""JPMC34F "","
"""KLBN11"","
"""KLBN11F"","
"""KLBN3"","
"""KLBN3F"","
"""KLBN4"","
"""KLBN4F"","
"""LAME3"","
"""LAME3F"","
"""LAME4"","
"""LAME4F"","
"""LCAM3"","
"""LCAM3F"","
"""LEVE3"","
"""LEVE3F"","
"""LINX3"","
"""LINX3F"","
"""LIQO3"","
"""LJQQ3"","
"""LLIS3"","
"""LLIS3F"","
"""LMTB34"","
"""LMTB34F"","
"""LOGG3"","
"""LPSB3"","
"""LPSB3F"","
"""LREN3"","
"""LREN3F"","
"""LUPA3"","
"""LUPA3F"","
"""LWSA3"","
"""MCDC34"","
"""MCDC34F"","
"""MDIA3"","
"""MDIA3F"","
"""MDNE3"","
"""MGLU3"","
"""MGLU3F"","
"""MMMC34"","
"""MMMC34F "","
"""MMXM11"","
"""MMXM11F"","
"""MMXM3"","
"""MMXM3F"","
"""MNDL3"","
"""MNDL3F"","
"""MOVI3"","
"""MOVI3F"","
"""MRCK34"","
"""MRCK34F "","
"""MRFG3"","
"""MRFG3F"","
"""MRVE3"","
"""MRVE3F"","
"""MSBR34"","
"""MSBR34F "","
"""MSCD34"","
"""MSCD34F"","
"""MSFT34"","
"""MSFT34F "","
